order_id,subscription_id,order_date,num_items,meal_type,delivery_status,special_instructions,rating,amount_spent,feedback
191,S89,2025-05-22,6,Classic,Delivered,NULL,5,150.2,NULL
192,S90,2025-05-29,4,Vegetarian,Delivered,NULL,3,90.3,NULL
193,S91,2025-06-05,5,Classic,Delivered,NULL,5,125.4,NULL
194,S92,2025-06-12,4,Vegan,Delivered,NULL,4,92.5,NULL
195,S93,2025-06-19,2,Keto,Delivered,NULL,5,65.6,NULL
196,S94,2025-06-26,5,Vegetarian,Delivered,NULL,5,105.7,NULL
197,S95,2025-07-03,6,Classic,Delivered,NULL,5,152.8,NULL
198,S96,2025-07-10,4,Vegan,Delivered,NULL,4,98.9,NULL
199,S97,2025-07-17,7,Family Plan,Delivered,NULL,5,195,NULL
200,S98,2025-07-24,5,Keto,Delivered,NULL,5,110.2,NULL
