subscription_id,customer_id,plan_type,start_date,end_date,price_per_week,is_active,meals_per_week,auto_renewal,payment_method
S37,37,Family Plan,2023-05-16,NULL,150.90,1,7,1,Credit Card
S38,38,Keto,2023-05-23,NULL,80.75,1,4,1,Apple Pay
S39,39,Classic,2023-05-30,NULL,108.50,1,5,1,Credit Card
S40,40,Vegan,2023-06-06,2024-06-01,69.60,0,3,1,Google Pay
S41,41,Classic,2023-06-13,NULL,90.45,1,4,1,Credit Card
S42,42,Keto,2023-06-20,NULL,70.80,1,3,1,PayPal
S43,43,Family Plan,2023-06-27,NULL,155.70,1,7,1,Credit Card
S44,44,Vegetarian,2023-07-04,2024-06-20,78.90,0,4,0,Debit Card
S45,45,Classic,2023-07-11,NULL,110.30,1,5,1,Credit Card
S46,46,Vegan,2023-07-18,NULL,82.40,1,4,1,PayPal
S47,47,Family Plan,2023-07-25,NULL,160.00,1,7,1,Credit Card
S48,48,Keto,2023-08-01,NULL,85.50,1,4,1,Apple Pay
S49,49,Classic,2023-08-08,NULL,128.60,1,6,1,Credit Card
S50,50,Vegetarian,2023-08-15,2024-07-15,65.70,0,3,1,Google Pay
S51,51,Classic,2023-08-22,NULL,108.80,1,5,1,Credit Card
S52,52,Vegan,2023-08-29,NULL,83.20,1,4,1,PayPal
S53,53,Keto,2023-09-05,NULL,55.90,1,2,1,Credit Card
S54,54,Vegetarian,2023-09-12,2024-08-25,79.30,0,4,0,Debit Card
S55,55,Classic,2023-09-19,NULL,130.40,1,6,1,Credit Card
S56,56,Vegan,2023-09-26,NULL,85.80,1,4,1,PayPal
S57,57,Family Plan,2023-10-03,NULL,165.50,1,7,1,Credit Card
S58,58,Keto,2023-10-10,NULL,88.60,1,4,1,Apple Pay
S59,59,Classic,2023-10-17,NULL,115.70,1,5,1,Credit Card
S60,60,Vegan,2023-10-24,2024-09-30,70.80,0,3,1,Google Pay
S61,61,Classic,2023-10-31,NULL,118.90,1,5,1,Credit Card
S62,62,Keto,2023-11-07,NULL,73.30,1,3,1,PayPal
S63,63,Family Plan,2023-11-14,NULL,170.10,1,7,1,Credit Card
S64,64,Vegetarian,2023-11-21,2024-10-22,84.40,0,4,0,Debit Card
S65,65,Classic,2023-11-28,NULL,135.50,1,6,1,Credit Card
S66,66,Vegan,2023-12-05,NULL,88.60,1,4,1,PayPal
S67,67,Family Plan,2023-12-12,NULL,175.70,1,7,1,Credit Card
S68,68,Keto,2023-12-19,NULL,90.80,1,4,1,Apple Pay
S69,69,Classic,2023-12-26,NULL,138.90,1,6,1,Credit Card
S70,70,Vegetarian,2024-01-02,2024-11-15,85.10,0,4,1,Google Pay
S71,71,Classic,2024-01-09,NULL,120.20,1,5,1,Credit Card
S72,72,Vegan,2024-01-16,NULL,88.30,1,4,1,PayPal
S73,73,Keto,2024-01-23,NULL,60.40,1,2,1,Credit Card
S74,74,Vegetarian,2024-01-30,NULL,99.50,1,5,0,Debit Card
S75,75,Classic,2024-02-06,NULL,140.60,1,6,1,Credit Card
S76,76,Vegan,2024-02-13,NULL,90.70,1,4,1,PayPal
S77,77,Family Plan,2024-02-20,NULL,180.80,1,7,1,Credit Card
S78,78,Keto,2024-02-27,NULL,99.90,1,5,1,Apple Pay
S79,79,Classic,2024-03-05,NULL,142.10,1,6,1,Credit Card
S80,80,Vegan,2024-03-12,2024-12-20,88.20,0,4,1,Google Pay
S81,81,Classic,2024-03-19,NULL,145.30,1,6,1,Credit Card
S82,82,Keto,2024-03-26,NULL,78.40,1,3,1,PayPal
S83,83,Family Plan,2024-04-02,NULL,185.50,1,7,1,Credit Card
S84,84,Vegetarian,2024-04-09,NULL,102.60,1,5,0,Debit Card
S85,85,Classic,2024-04-16,NULL,148.70,1,6,1,Credit Card
S86,86,Vegan,2024-04-23,NULL,95.80,1,4,1,PayPal
S87,87,Family Plan,2024-04-30,NULL,190.90,1,7,1,Credit Card
S88,88,Keto,2024-05-07,NULL,105.10,1,5,1,Apple Pay
S89,89,Classic,2024-05-14,NULL,150.20,1,6,1,Credit Card
S90,90,Vegetarian,2024-05-21,2025-01-10,90.30,0,4,1,Google Pay
S91,91,Classic,2024-05-28,NULL,125.40,1,5,1,Credit Card
S92,92,Vegan,2024-06-04,NULL,92.50,1,4,1,PayPal
S93,93,Keto,2024-06-11,NULL,65.60,1,2,1,Credit Card
S94,94,Vegetarian,2024-06-18,NULL,105.70,1,5,0,Debit Card
S95,95,Classic,2024-06-25,NULL,152.80,1,6,1,Credit Card
S96,96,Vegan,2024-07-02,NULL,98.90,1,4,1,PayPal
S97,97,Family Plan,2024-07-09,NULL,195.00,1,7,1,Credit Card
S98,98,Keto,2024-07-16,NULL,110.20,1,5,1,Apple Pay
S99,99,Classic,2024-07-23,NULL,155.30,1,6,1,Credit Card
S100,100,Vegetarian,2024-07-30,2025-02-15,95.40,0,4,1,Google Pay
